timestamp,value
2025-06-27 07:30:00,2.4330605487
2025-06-27 07:30:15,2.3080928961
2025-06-27 07:30:30,2.2922856734
2025-06-27 07:30:45,2.6329373198
2025-06-27 07:31:00,2.6600923962
2025-06-27 07:31:15,2.3557851533
2025-06-27 07:31:30,2.4777908272
2025-06-27 07:31:45,2.6280985418
2025-06-27 07:32:00,2.9833828538
2025-06-27 07:32:15,2.7321562084
2025-06-27 07:32:30,2.2585809856
2025-06-27 07:32:45,1.9419401836
2025-06-27 07:33:00,1.676978052
2025-06-27 07:33:15,1.4592305835
2025-06-27 07:33:30,1.4390782006
2025-06-27 07:33:45,6.7405517382
2025-06-27 07:34:00,27.5327634037
2025-06-27 07:34:15,42.975422463
2025-06-27 07:34:30,67.5104341505
2025-06-27 07:34:45,75.848587659
2025-06-27 07:35:00,73.0030173767
2025-06-27 07:35:15,72.944129193
2025-06-27 07:35:30,77.5851680508
2025-06-27 07:35:45,78.9588361684
2025-06-27 07:36:00,56.431998863
2025-06-27 07:36:15,35.199871258
2025-06-27 07:36:30,17.8266641512
2025-06-27 07:36:45,2.3792952066
2025-06-27 07:37:00,1.2707549918
2025-06-27 07:37:15,1.0740052714
2025-06-27 07:37:30,1.1461108838
2025-06-27 07:37:45,1.1570356103
2025-06-27 07:38:00,1.3664935335
2025-06-27 07:38:15,1.4852768564
2025-06-27 07:38:30,1.7707869155
2025-06-27 07:38:45,1.5959016887
2025-06-27 07:39:00,1.7428671222
2025-06-27 07:39:15,1.4892156426
2025-06-27 07:39:30,1.7566088854
2025-06-27 07:39:45,1.5289971732
2025-06-27 07:40:00,1.6228349666
2025-06-27 07:40:15,1.5292125266
2025-06-27 07:40:30,1.9706334932
2025-06-27 07:40:45,1.9409339033
2025-06-27 07:41:00,1.8812995441
2025-06-27 07:41:15,1.6073461487
2025-06-27 07:41:30,1.4990457591
2025-06-27 07:41:45,1.5164253337
2025-06-27 07:42:00,1.7567373837
2025-06-27 07:42:15,5.9986617151
2025-06-27 07:42:30,24.7350828829
2025-06-27 07:42:45,51.2327669967
2025-06-27 07:43:00,63.262494199
2025-06-27 07:43:15,68.536066012
2025-06-27 07:43:30,58.4163015531
2025-06-27 07:43:45,62.6033471908
2025-06-27 07:44:00,53.9138467096
2025-06-27 07:44:15,46.8448496106
2025-06-27 07:44:30,34.9208462509
2025-06-27 07:44:45,21.1023339005
2025-06-27 07:45:00,8.880232828
2025-06-27 07:45:15,4.3888467624
2025-06-27 07:45:30,3.3296807604
2025-06-27 07:45:45,3.9187705306
2025-06-27 07:46:00,3.7793724356
2025-06-27 07:46:15,2.8733579047
2025-06-27 07:46:30,3.1848048058
2025-06-27 07:46:45,3.630899663
2025-06-27 07:47:00,3.092871479
2025-06-27 07:47:15,2.581245729
2025-06-27 07:47:30,2.2811499961
2025-06-27 07:47:45,1.959983051
2025-06-27 07:48:00,1.8883358611
2025-06-27 07:48:15,2.193672317
2025-06-27 07:48:30,2.6034149548
2025-06-27 07:48:45,2.4606356417
2025-06-27 07:49:00,2.3772263624
2025-06-27 07:49:15,2.2047399282
2025-06-27 07:49:30,2.1399845398
2025-06-27 07:49:45,2.2459388588
2025-06-27 07:50:00,2.0111296773
2025-06-27 07:50:15,2.1274891975
2025-06-27 07:50:30,2.0052235381
2025-06-27 07:50:45,2.0861232786
2025-06-27 07:51:00,2.2350044555
2025-06-27 07:51:15,2.2154381823
2025-06-27 07:51:30,1.9678956094
2025-06-27 07:51:45,1.7459880878
2025-06-27 07:52:00,1.5748629754
2025-06-27 07:52:15,1.5765001531
2025-06-27 07:52:30,1.4199325163
2025-06-27 07:52:45,1.356523424
2025-06-27 07:53:00,1.4228126629
2025-06-27 07:53:15,15.9996543622
2025-06-27 07:53:30,26.9497496491
2025-06-27 07:53:45,42.3909565885
2025-06-27 07:54:00,54.801215028
2025-06-27 07:54:15,61.453738391
2025-06-27 07:54:30,68.1390118168
2025-06-27 07:54:45,67.0688304611
2025-06-27 07:55:00,75.9050942297
2025-06-27 07:55:15,72.5436765441
2025-06-27 07:55:30,50.4775486223
2025-06-27 07:55:45,24.9794159381
2025-06-27 07:56:00,9.1455185281
2025-06-27 07:56:15,2.1730370739
2025-06-27 07:56:30,2.3202446916
2025-06-27 07:56:45,2.4353237837
2025-06-27 07:57:00,2.5049487657
2025-06-27 07:57:15,2.3527108447
2025-06-27 07:57:30,2.2931324888
2025-06-27 07:57:45,1.7987761712
2025-06-27 07:58:00,2.7848084261
